"pmid","ct","cta","dt","t_start","t_end","j_NH3","air_temp"
1947,1.73,1.7333,1.73,2020-11-18 13:40:00,2020-11-18 15:24:00,0.0088216,11.47
1947,3.46,3.4667,1.73,2020-11-18 15:24:00,2020-11-18 17:08:00,0,11.6
1947,5.19,5.2,1.73,2020-11-18 17:08:00,2020-11-18 18:52:00,0.00617,10.51
1947,6.92,6.9333,1.73,2020-11-18 18:52:00,2020-11-18 20:36:00,0.013609,10.24
1947,8.65,8.6667,1.73,2020-11-18 20:36:00,2020-11-18 22:20:00,0.015426,10.56
1947,10.38,10.4,1.73,2020-11-18 22:20:00,2020-11-19 00:04:00,0.017798,10.55
1947,12.11,12.133,1.73,2020-11-19 00:04:00,2020-11-19 01:48:00,0.018999,11.29
1947,13.84,13.867,1.73,2020-11-19 01:48:00,2020-11-19 03:32:00,0.018476,9.51
1947,15.57,15.6,1.73,2020-11-19 03:32:00,2020-11-19 05:16:00,0.020427,8.59
1947,17.3,17.333,1.73,2020-11-19 05:16:00,2020-11-19 07:00:00,0.020149,8.67
1947,19.03,19.067,1.73,2020-11-19 07:00:00,2020-11-19 08:44:00,0.020569,7.673
1947,20.76,20.8,1.73,2020-11-19 08:44:00,2020-11-19 10:28:00,0.02013,8.06
1947,22.49,22.533,1.73,2020-11-19 10:28:00,2020-11-19 12:12:00,0.021046,6.565
1947,24.22,24.267,1.73,2020-11-19 12:12:00,2020-11-19 13:56:00,0.02476,6.626
1947,25.95,26,1.73,2020-11-19 13:56:00,2020-11-19 15:40:00,0.022659,6.201
1947,27.68,27.733,1.73,2020-11-19 15:40:00,2020-11-19 17:24:00,0.021372,4.668
1947,29.41,29.467,1.73,2020-11-19 17:24:00,2020-11-19 19:08:00,0.020318,4.225
1947,31.14,31.2,1.73,2020-11-19 19:08:00,2020-11-19 20:52:00,0.019365,3.351
1947,32.87,32.933,1.73,2020-11-19 20:52:00,2020-11-19 22:36:00,0.021729,3.336
1947,34.6,34.667,1.73,2020-11-19 22:36:00,2020-11-20 00:20:00,0.024926,4.509
1947,36.33,36.4,1.73,2020-11-20 00:20:00,2020-11-20 02:04:00,0.024643,4.494
1947,38.06,38.133,1.73,2020-11-20 02:04:00,2020-11-20 03:48:00,0.022687,3.774
1947,39.79,39.867,1.73,2020-11-20 03:48:00,2020-11-20 05:32:00,0.021471,3.655
1947,41.52,41.6,1.73,2020-11-20 05:32:00,2020-11-20 07:16:00,0.020344,3.715
1947,43.25,43.333,1.73,2020-11-20 07:16:00,2020-11-20 09:00:00,0.031916,2.743
1947,47.78,47.867,4.53,2020-11-20 09:00:00,2020-11-20 13:32:00,0.034532,5.5594
1947,49.51,49.6,1.73,2020-11-20 13:32:00,2020-11-20 15:16:00,0.035531,6.635
1947,51.24,51.333,1.73,2020-11-20 15:16:00,2020-11-20 17:00:00,0.027377,4.92
1947,52.97,53.067,1.73,2020-11-20 17:00:00,2020-11-20 18:44:00,0.02619,4.357
1947,54.7,54.8,1.73,2020-11-20 18:44:00,2020-11-20 20:28:00,0.025779,3.786
